Draft Year,Round,Pick,Name,Pro Bowler,Career Receptions,Career Yards,Career Touchdowns,Career Games,Proj. 5,Proj. 15,Proj. 32,Proj. 64,Proj. 98,Proj. 135,Proj. 170,Proj. 200,Height (m),Weight (lb),40 Yard Dash,Broad Jump,Vertical Jump,Bench Press,Arm Length,Hand Size,Receptions,Yards,Touchdowns,More Then 3 years in college,Big School,Small School,Major Injury,Off Field Issues,National Championship,QB Drafted,WR selected with previous pick
2016,4,107,Chris Moore,0,47,511,4,58,0,0,0,0,0,0,1,0,1.85,206,4.53,130,37,10,33.375,9.375,119,2301,26,1,0,0,0,0,0,0,0
2016,4,112,Malcolm Mitchell,0,32,401,4,14,0,0,0,0,0,0,1,0,1.85,198,4.45,129,36,15,32.625,10.5,174,2350,16,1,1,0,1,0,0,1,0
2016,4,114,Ricardo Louis,0,45,562,0,32,0,0,0,0,0,0,0,0,1.88,215,4.43,132,38,18,32.375,9.5,98,1338,8,1,1,0,0,0,0,0,0
2016,4,126,Demarcus Robinson,0,75,949,8,64,0,0,0,0,0,0,0,1,1.85,203,4.59,123,34.5,9,33,9.5,105,1353,9,0,0,0,0,1,0,0,0
2016,5,140,Tajae Sharpe,0,92,1167,8,47,0,0,0,0,0,0,0,1,1.88,194,4.55,114,33.5,11,32.25,8.375,277,3486,16,1,0,0,0,0,0,0,0
2016,5,154,Jordan Payton,0,0,0,0,4,0,0,0,0,0,0,0,0,1.85,207,4.47,,34.5,,32.5,10.125,201,2701,14,1,0,0,0,0,0,0,0
2016,5,163,Trevor Davis,0,16,205,1,43,0,0,0,0,0,0,0,0,1.85,188,4.42,124,38.5,11,31,10,109,1672,12,1,0,0,0,0,0,1,0
2016,5,165,Tyreek Hill,1,281,4115,32,59,0,0,0,0,0,0,0,0,1.78,185,4.29,129,405,,30.5,8,31,281,1,0,0,0,0,1,0,0,0
2016,5,172,Rashard Higgins,0,76,1016,7,54,0,0,0,0,1,0,0,0,1.85,196,4.64,116,32,13,32.25,9.75,238,3648,31,0,0,0,0,0,0,0,0
2016,6,180,Moritz Bohringer,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93,227,4.49,131,39,,32.625,9.5,,,,,,1,0,0,0,0,0
2016,6,182,Keenan Reynolds,0,0,0,0,2,0,0,0,0,0,0,0,0,1.8,190,4.57,120,37,,30.25,8.625,1,47,0,1,0,0,0,0,0,0,0
2016,6,186,Jakeem Grant,0,53,635,4,52,0,0,0,0,0,0,0,0,1.68,165,4.37,117,36.5,,29.75,8.625,254,3286,27,1,0,0,0,0,0,1,0
2016,6,192,Kolby Listenbee,0,0,0,0,0,0,0,0,0,0,0,0,1,1.85,197,4.39,129,35.5,15,31.325,8.25,74,1432,9,1,0,0,1,0,0,0,0
2016,6,199,Cody Core,0,33,388,1,51,0,0,0,0,0,0,0,0,1.91,205,4.47,119,31.5,14,32,10.25,83,1297,10,1,0,0,0,0,0,1,0
2016,6,206,Mike Thomas,0,10,144,0,40,0,0,0,0,0,0,0,1,1.85,205,4.47,119,31.5,14,32,10.375,112,1983,19,0,0,0,0,0,0,0,0
2016,6,213,Aaron Burbridge,0,7,88,0,16,0,0,0,0,0,1,0,0,1.83,206,4.56,115,30.5,20,31.625,8.25,165,2174,10,1,0,0,0,0,0,0,0
2016,7,225,Devin Lucien,0,0,0,0,0,0,0,0,0,0,0,0,0,1.88,201,4.49,117,34.5,,31.875,10.125,124,1074,12,1,0,0,1,0,0,0,0
2016,7,229,Demarcus Ayers,0,6,53,1,2,0,0,0,0,0,0,0,1,1.8,182,4.72,120,33,,31.25,9.25,141,1686,9,0,0,0,0,0,0,0,0
2016,7,230,Daniel Braverman,0,0,0,0,3,0,0,0,0,0,0,0,1,1.78,175,4.53,112,28.5,,28.75,9.125,212,2499,19,0,0,0,0,0,0,0,1
2016,7,238,Devin Fuller,0,0,0,0,0,0,0,0,0,0,0,0,1,1.83,194,4.39,124,36,,30.5,9.5,146,1322,10,1,0,0,0,0,0,1,0
